iter	Passed	Remaining
0	47	47424
1	52	26038
2	55	18539
3	59	14720
4	62	12510
5	63	10543
6	64	9139
7	68	8458
8	70	7785
9	71	7082
10	72	6525
11	73	6056
12	75	5716
13	76	5357
14	76	5042
15	78	4835
16	79	4597
17	80	4382
18	81	4198
19	82	4046
20	83	3911
21	86	3841
22	87	3730
23	88	3604
24	93	3634
25	95	3568
26	96	3464
27	102	3569
28	103	3471
29	106	3449
30	107	3361
31	112	3399
32	113	3335
33	115	3289
34	118	3267
35	119	3208
36	121	3155
37	125	3166
38	126	3119
39	127	3063
40	129	3034
41	130	2978
42	133	2963
43	133	2910
44	137	2908
45	138	2864
46	143	2915
47	144	2869
48	145	2824
49	147	2796
50	148	2770
51	150	2745
52	153	2738
53	155	2719
54	156	2693
55	159	2693
56	161	2663
57	162	2641
58	163	2608
59	166	2615
60	168	2588
61	170	2577
62	174	2589
63	175	2572
64	177	2553
65	179	2536
66	181	2526
67	183	2515
68	185	2499
69	186	2476
70	189	2472
71	192	2478
72	193	2462
73	195	2445
74	197	2435
75	198	2412
76	199	2393
77	201	2384
78	202	2366
79	204	2351
80	205	2336
81	207	2318
82	207	2293
83	209	2284
84	211	2277
85	213	2268
86	214	2255
87	216	2241
88	220	2260
89	225	2276
90	227	2276
91	231	2281
92	233	2278
93	236	2279
94	239	2281
95	242	2283
96	243	2265
97	247	2276
98	250	2275
99	252	2270
100	255	2275
101	258	2277
102	261	2279
103	264	2280
104	267	2278
105	269	2276
106	273	2279
107	274	2265
108	276	2257
109	277	2247
110	278	2233
111	280	2224
112	282	2218
113	284	2208
114	286	2202
115	288	2199
116	290	2190
117	292	2188
118	295	2188
119	299	2194
120	301	2187
121	304	2192
122	305	2178
123	307	2170
124	308	2161
125	310	2152
126	311	2144
127	314	2141
128	316	2136
129	321	2149
130	322	2141
131	326	2148
132	328	2138
133	329	2130
134	332	2127
135	333	2121
136	335	2112
137	337	2106
138	339	2100
139	340	2094
140	342	2085
141	343	2075
142	345	2070
143	346	2058
144	347	2050
145	349	2044
146	351	2038
